"exact_proposed_wording","immutable_supporting_files","supporting_sections","population_and_comparator","category","stronger_unsupported_wording"
"RB2 native success requires combined position norm <20 and angle <pi/9 at the same post-action step, excluding t0.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Fixed question and population","All four RB2 arms; native-state endpoint","reported result","An initial state or an offline reconstruction score counted as success."
"RB2 rates are G5 15.1042%, D5 14.3555%, G30 17.9036%, D30 17.1224%.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; all four arms; 3072 episodes each","reported result","Only the best arm or subgroup is relevant."
"RB2 primary D5-G5 is -0.7487 pp [-2.0833,+0.5859].","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; primary fixed five-population comparison","reported result","The primary proves exact equality."
"RB2 D30-G30 is -0.7813 pp [-2.3438,+0.7813].","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; prespecified thirty-population secondary","reported result","Thirty populations establish a general GMM advantage."
"RB2 D5-D30 is -2.7669 pp [-4.4596,-1.0409] and D5-G30 is -3.5482 pp [-5.2083,-1.8229].","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; descriptive cross-budget secondaries","reported result","These are multiplicity-adjusted discoveries of a diffusion-specific causal fault."
"Mean complete-episode seconds are published totals divided by 3072: G5 3.254, D5 3.620, G30 11.014, D30 11.368.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-AGGREGATE-PROJECTION.json","Timing, allocation and memory; configurations[].episode_timing_totals","All RB2 episodes; separate arm totals; arithmetic only","arithmetic derivation","These are pure model latency, time confidence intervals or matched deployment costs."
"Complete-episode timing includes instrumentation/evidence handling and excludes shared backend/model setup.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Timing, allocation and memory","RB2 complete-episode timer; shared setup 14409.113 seconds separately","limitation","The episode mean includes every allocation and shared setup cost."
"Scoring lies inside refinement; bank fingerprint timing overlaps planning/refinement.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Timing, allocation and memory","RB2 measured timing components","limitation","Adding every timer gives total time, or subtracting all hashing gives deployment latency."
"Increasing populations from five to thirty increased observed success by 2.7995 pp for GMM and 2.7669 pp for diffusion.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; differences of published arm means; no added interval","arithmetic derivation","Both gains have a newly established adjusted significance claim."
"RB2 used 138753 GPU allocation seconds and 161 CPU allocation-wall seconds; worker process CPU is a separate 122546.557 seconds.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Timing, allocation and memory","All 1537 successful unique research jobs","reported result","Arm-specific GPU allocations are measured, or zero Slurm TotalCPU means no CPU work."
"Python RSS and Torch allocated memory are scoped measurements, not whole-tree or whole-device residency.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Timing, allocation and memory","Peak worker Python RSS 1647009792 B; Torch allocated 294831104 B","limitation","These peaks certify the entire node memory footprint."
"Earlier E11 positive evidence remains valid on its original three-task, fixed-seed suite against the specified controls and ACID reconstruction.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/ACID-ALTERNATIVE-E11-PURE-VELOCITY-UNTOUCHED-D3-RESULT-2026-08-18.md","Frozen verdict; Diffusion-specific mechanism gate; Honest scientific interpretation","400 D3 starts per task; PushT/Reacher/Cube; Gaussian and published-equation ACID reconstruction","interpretation","RB2 invalidates E11, or E11 proves universal or official-ACID superiority."
"E11 used each released task callable for binary success; its inference/evaluation timing excludes proposal training.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/ACID-ALTERNATIVE-E11-PURE-VELOCITY-UNTOUCHED-D3-RESULT-2026-08-18.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/ACID-ALTERNATIVE-E11-PURE-VELOCITY-UNTOUCHED-D3-PROTOCOL-2026-08-17.md","Inference-time compute; protocol section 7 Outcomes and inference","Short-horizon untouched D3 suite under original interface","limitation","Its rates and elapsed-time ratio are directly comparable to RB2 instrumented episodes."
"Independent PushT internal continuation gains passed, but the all-three objective failed and the registered SAGE futility rule stopped the study.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/INDEPENDENT-PUSHT-RESULT-2026-09-07.md","Registered primary comparisons; Timing and interpretation","1600 weak-policy references, six methods, H75/H150, three blocks; live native SAGE","reported result","Continuation was confirmed superior or noninferior to SAGE."
"Independent PushT uses its post-action native position/angle endpoint and sequential spending bounds; its solver-call median ratio is not end-to-end speed.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/INDEPENDENT-PUSHT-RESULT-2026-09-07.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/INDEPENDENT-PUSHT-PROTOCOL.md","Registered primary comparisons; Timing and interpretation; protocol Execution","1600 reference clusters; 57600 arm/horizon/seed runs","limitation","All studies use interchangeable success definitions, confidence intervals or timing boundaries."
"The separate studies must not be displayed as a cross-study absolute-rate performance time series.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/07aa9bbe30a3bd89dcae6f3ad1f713979f2048c1/docs/local-goal-proposals-20260918/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/ACID-ALTERNATIVE-E11-PURE-VELOCITY-UNTOUCHED-D3-RESULT-2026-08-18.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/f0cabb92d4b4214f3d423d9d19c77d3083d547da/cluster/prometheus/INDEPENDENT-PUSHT-RESULT-2026-09-07.md","What was actually compared; Fixed question and population; Frozen verdict; Timing and interpretation","Different populations, interfaces, comparators and timing boundaries","limitation","The change in absolute success proves the method deteriorated over time."
"RB2 computation and preservation succeeded; R1 did not change scientific outcomes or erase the failed first transfer.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/28cbcf18ec16bcb496132c7c9bd0204a7cf2eca9/docs/local-goal-source-replication-publication-20260920/preservation-recovery-r1/LOCATION-AND-RECEIPT.md","Authentication, storage and preservation; Exact location mapping","Complete RB2 archive and preserved LGP1/RB1 union","reported result","The original transfer succeeded, or recovery reran the research."
"Retain continuation, promote neither proposer, and close this line for now without declaring the overall thesis finished.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/150035cfb6dc2aaa1038c187dbb983ddfeb4fb0e/docs/local-goal-line-closure-20260922/DECISION.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/150035cfb6dc2aaa1038c187dbb983ddfeb4fb0e/docs/local-goal-line-closure-20260922/AUTHORIZATION.txt ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Closure decision; DELIVERABLES 1; Limits and next handoff","Prospective priority decision after completed LGP1/RB1/RB2","prospective research decision","The thesis is finished or continuation won a live RB2 comparison."
"This decision authorizes no further round-count, seed, return-rule, sampler or training search.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/150035cfb6dc2aaa1038c187dbb983ddfeb4fb0e/docs/local-goal-line-closure-20260922/DECISION.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/150035cfb6dc2aaa1038c187dbb983ddfeb4fb0e/docs/local-goal-line-closure-20260922/AUTHORIZATION.txt","Closure decision; DELIVERABLES 1 and RETURN","Current local-goal proposer-and-budget line","prospective research decision","Negative results authorize automatic tuning or another experiment."
